year,federal,private,provincial,total
1990,265564,0,11645085,11910649
1991,40000,992000,11893774,12925774
1992,149300,1027500,13416793,14593593
1993,68000,1734100,13094452,14896552
1994,486860,4180622,15122824,19790306
1995,138670,3169246,16978769,20286685
1996,5861,2267078,17763696,20036635
1997,28244,3153991,19034484,22216719
1998,10183,1981789,15179674,17171646
1999,0,2060017,21668822,23728839
2000,0,1909820,21508445,23418265
2001,0,2005905,21468490,23474395
2002,143655,2116845,22412620,24673120
2003,64123,2307175,21856904,24228202
2004,64123,2553979,20891446,23509548
2005,0,3715033,23830852,27545885
2006,30000,2100934,23137749,25268683
2007,7500,1201718,19303500,20512718
2008,0,791824,19032262,19824086
2009,0,824335,19189494,20013829
2010,8900,888199,20155089,21052188
2011,136869,1009310,23740299,24886478
2012,0,2144503,20886488,23030991
2013,0,1926581,20601720,22528301
2014,0,2098353,21260063,23358416
2015,15989,2231754,25547018,27794761
